บริษัท ,รหัสสินค้า, TotalCost ,Qty,รวมจำนวนเงิน
THSITH,120X150X14 TCV-SOG/OIL SEAL VITON, 599.00 ,1 , 599.00 
THSITH,120X155X14 TC-SOG/OIL SEAL, 109.00 ,4 , 436.00 
THSITH,120X160X15 TC-SOG/OIL SEAL, 135.00 ,4 , 540.00 
THSITH,120X180X15 TC-SOG/OIL SEAL, 153.00 ,2 , 306.00 
THSITH,1210 EKTN9/C3-SKF/BEARINGS, 567.12 ,2 ," 1,134.24 "
THSITH,1211 EKTN9+H211-SKF/SET OF SABB AND ADAPTER SLEEVES," 1,100.47 ",1 ," 1,100.47 "
THSITH,1211 EKTN9-SKF/BEARINGS, 712.78 ,7 ," 4,989.46 "
THSITH,1213 EKTN9-SKF/BEARINGS, 965.27 ,2 ," 1,930.54 "
THSITH,1214 ETN9-SKF/BEARINGS," 1,342.08 ",3 ," 4,026.24 "
THSITH,1214 K/C3-SKF/BEARINGS, 532.00 ,10 ," 5,320.00 "
THSITH,1216/C3-SKF/BEARINGS," 1,831.17 ",2 ," 3,662.34 "
THSITH,1217-SKF/BEARINGS," 2,287.17 ",1 ," 2,287.17 "
THSITH,1219 K-SKF/BEARINGS," 1,531.00 ",1 ," 1,531.00 "
THSITH,1220-SKF/BEARINGS," 3,517.49 ",1 ," 3,517.49 "
THSITH,1222 B-SFERAX/Linear bearing (12x22x27), 250.00 ,4 ," 1,000.00 "
THSITH,1222 K/C3-SKF/BEARINGS," 5,235.35 ",2 ," 10,470.70 "
THSITH,125X150X12 HMSA10 RG-SKF/562733 OIL SEAL, 102.51 ,20 ," 2,050.20 "
THSITH,125X160X13 SB-TORA/OIL SEAL, 66.50 ,5 , 332.50 
THSITH,1280 8M-A 010-OPTIBELT/TIMING BELTS, 359.10 ,2 , 718.20 
THSITH,1280 8M-A 050-OPTIBELT/TIMING BELTS," 1,795.50 ",2 ," 3,591.00 "
THSITH,128X150X15 HMS4R-CR/50600 OIL SEAL, 279.00 ,10 ," 2,790.00 "
THSITH,12B-1 O/L-FENNER/ข้อต่อโซ่ครึ่งข้อ/ชั้นเดียว(BS), 39.00 ,5 , 195.00 
THSITH,12B-2 O/L-FENNER/ข้อต่อโซ่ครึ่งข้อ/สองชั้น(BS), 87.75 ,1 , 87.75 
THSITH,12X20X5 TC-SOG/OIL SEAL, 18.00 ,4 , 72.00 
THSITH,12X21X4 SC-TORA/OIL SEAL, 3.80 ,2 , 7.60 
THSITH,12X22X7 TC-SOG/OIL SEAL, 11.00 ,1 , 11.00 
THSITH,12X22X8 TCV-SOG/OIL SEAL VITON, 48.00 ,1 , 48.00 
THSITH,12X24X5 TC-SOG/OIL SEAL, 11.00 ,4 , 44.00 
THSITH,12X24X7 TC-SOG/OIL SEAL, 11.00 ,1 , 11.00 
THSITH,12X25X7 HMSA10 RG-SKF/563500 OIL SEAL, 16.40 ,1 , 16.40 
THSITH,12X28X7 HMSA10 RG-SKF/562570 OIL SEAL, 21.47 ,53 ," 1,137.91 "
THSITH,12X28X7 HMSA10 V/562572 OIL SEAL VITON, 53.00 ,6 , 318.00 
THSITH,12X28X7 TCV-SOG/OIL SEAL VITON, 59.00 ,1 , 59.00 
THSITH,12X30X7 SC-SOG/OIL SEAL, 11.00 ,9 , 99.00 
THSITH,12X32X7 HMSA10 RG-SKF/562982 OIL SEAL, 17.50 ,10 , 175.00 
THSITH,12X35X7 TC-TORA/OIL SEAL, 5.70 ,4 , 22.80 
THSITH,"13/16""X1.3/8""X3/8""-CR/8060 OIL SEAL CRW1 R", 31.50 ,8 , 252.00 
THSITH,1303 ETN9-SKF/BEARINGS, 177.26 ,3 , 531.78 
THSITH,1304 ETN9-SKF/BEARINGS, 376.36 ,4 ," 1,505.44 "
THSITH,1305 EKTN9-SKF/BEARINGS, 210.50 ,4 , 842.00 
THSITH,1305 ETN9-SKF/BEARINGS, 503.08 ,5 ," 2,515.40 "
THSITH,1306 EKTN9-SKF/BEARINGS, 243.56 ,8 ," 1,948.48 "
THSITH,1307 EKTN9-SKF/BEARINGS, 719.60 ,4 ," 2,878.40 "
THSITH,1308 EKTN9-SKF/BEARINGS, 512.03 ,5 ," 2,560.15 "
