Company,Product,Sum of Amount,Sum of Gross profit,Sum of Quantity,Sum of GP_pct
THSITH,6216/C3VL0241-SKF / Insocoat Deep Groove Ball Be,95440,16496.27,5,17.3%
THSITH,22226 E-SKF / BEARINGS,95071,10978.9,13,11.5%
THSITH,PHG SPB3750-SKF / WEDGE BELT,95033,38927.16,88,41.0%
THSITH,6315/C3VL0241-SKF / INSULATED BEARINGS,94768,17697,5,18.7%
THSITH,7330 BCBM/SET-SKF / BEARINGS/ 2 ลูก,94618,5114.6,1,5.4%
THSITH,W 6000-2RS1-SKF / ลูกปืนสแตนเลส,94528,11425.22,288,12.1%
THSITH,TKRS 11-SKF / STROBOSCOPE (XENON FLASHT,94500,18900,4,20.0%
THSITH,6009-2RS1/C3-SKF / BEARINGS,93670.2,7611.68,252,8.1%
THSITH,6316-SKF / BEARINGS,93634,10199.7,45,10.9%
THSITH,FNL 520 A-SKF / Flanged Housings,93528,15980.08,8,17.1%
